Neuron,rL,fL,rR,fR,rShift,lShift
UE31oct11,0.188273689459718,fr ~ 1 + hp + ep,0.200323697388135,fr ~ 1 + hp + hv,50,150
UD20oct11,0.112920171475923,fr ~ 1 + hp,0.184649482417114,fr ~ 1 + hp,200,0
UD16sep11,0.463615263420451,fr ~ 1 + hp + hv,0,fr ~ 1,0,110
UC22may12,0.646266177434417,fr ~ 1 + hv,0.397563801850106,fr ~ 1 + hv,90,90
UC17feb12,0.511451313089661,fr ~ 1 + hv + ha,0.244336428922734,fr ~ 1 + hv,20,60
UC03jan12,0.42355091914643,fr ~ 1 + hv*ep,0.164652363549492,fr ~ 1 + hv,80,80
UB28sep11,0.0694486352991494,fr ~ 1 + ep,0.489526776213855,fr ~ 1 + hp + hv*ep,60,130
UB26mar12,0.46839464988695,fr ~ 1 + hv,0.143656189767772,fr ~ 1 + hp,200,80
UB24oct11,0.160664406445602,fr ~ 1 + hv + ha,0.319592975444744,fr ~ 1 + hv,60,30
UB23mar12,0.636379800227646,fr ~ 1 + hv,0.291732598083786,fr ~ 1 + hp + hv,100,80
UB23feb12,0.332590844960611,fr ~ 1 + hp + hv,0.269575513838583,fr ~ 1 + hv,80,90
UB22may12,0.617579474694864,fr ~ 1 + hv,0.634775109095095,fr ~ 1 + hv,80,60
UB16feb12,0.523552611555885,fr ~ 1 + hv + ha,0.0569004103616958,fr ~ 1 + hp,130,80
UB14may12,0.31619260423693,fr ~ 1 + hv*ep,0.362100549864888,fr ~ 1 + ha + hv*ep,180,150
UB11jan12,0.255085303770553,fr ~ 1 + hp + ha,0.0590211833873738,fr ~ 1 + ev,0,0
UB07oct11,0.255058708684244,fr ~ 1 + hp + hv + ha,0.179326593517359,fr ~ 1 + hv,100,60
UB05jan12,0.361498378005656,fr ~ 1 + hp + hv,0.318261912755883,fr ~ 1 + hv + ha,90,50
UB04nov11,0.204356220356318,fr ~ 1 + hp + hv,0.508051704854021,fr ~ 1 + hv + ha,100,90
SE17Oct11,0,fr ~ 1,0.502440305453658,fr ~ 1 + hv,170,0
SD30Sep11,0.327720016402419,fr ~ 1 + hp*hv,0.165700016834158,fr ~ 1 + hv,160,70
SD28Sep11,0.113061383934368,fr ~ 1 + hv,0.19540907544954,fr ~ 1 + ep,150,130
SD21Sep11,0.307268811441975,fr ~ 1 + hp + hv,0.351733799056676,fr ~ 1 + hp + hv,80,120
SD13Jan12,0.371930976102381,fr ~ 1 + hv,0.0818789181138097,fr ~ 1 + hv,100,180
SD09Jan12,0.449959209583655,fr ~ 1 + hv + ev,0,fr ~ 1,0,50
SD06Dec11,0.360067262070527,fr ~ 1 + hp + hv,0.21501526404239,fr ~ 1 + hp + hv,60,140
SD04Jan12,0.100249272104797,fr ~ 1 + hp,0.263704392543059,fr ~ 1 + hv,120,150
SD03Nov11,0.193498010724447,fr ~ 1 + hv,0.0580660800170111,fr ~ 1 + hv,200,170
SC28Nov11,0.320088060669707,fr ~ 1 + hv*ep,0.0642842376808247,fr ~ 1 + hv,0,110
SC23Sep11,0.492198228695457,fr ~ 1 + hv,0.105034675536344,fr ~ 1 + ep,150,140
SC21Dec11,0.434143100033417,fr ~ 1 + hv,0.0734668627171019,fr ~ 1 + hv,150,150
SC19Oct11,0.0703012065024633,fr ~ 1 + hp,0.270058724410678,fr ~ 1 + hv + ep,80,200
SC19Jan12,0.259014052590398,fr ~ 1 + hv,0.0502379756926454,fr ~ 1 + ep,200,200
SC18Oct11,0.229931452526291,fr ~ 1 + hp,0.63453330257443,fr ~ 1 + hp + hv + ep,60,80
SC16Sep11,0.212276199825366,fr ~ 1 + hp + hv + ep,0.058043708162193,fr ~ 1 + hp,10,150
SC15Sep11,0,fr ~ 1,0,fr ~ 1,0,0
SC14Oct11,0.0770738868337931,fr ~ 1 + ep,0.225265560988218,fr ~ 1 + hv,150,200
SC12Dec11,0.637321541914161,fr ~ 1 + hp + hv,0.181429442844475,fr ~ 1 + hv + ep,200,90
SC07Oct11,0.471111732142027,fr ~ 1 + hv,0.0666472871176654,fr ~ 1 + hp,200,110
SB30Sep11,0,fr ~ 1,0.196841393733147,fr ~ 1 + hv + ep,170,0
SB28Sep11,0.237132847771092,fr ~ 1 + hp,0.342610794223877,fr ~ 1 + hp + hv,60,200
SB21Oct11,0.517657918163666,fr ~ 1 + ep,0.793494284670028,fr ~ 1 + hv + ep,120,60
SB19Jan12,0,fr ~ 1,0.26205468682677,fr ~ 1 + hv,120,0
SB18Oct11,0,fr ~ 1,0.242199693457219,fr ~ 1 + hv,80,0
SB16Sep11,0.375515514392694,fr ~ 1 + hv,0.053012424611744,fr ~ 1 + ev,200,110
SB15Sep11,0,fr ~ 1,0.381494093536768,fr ~ 1 + hv,120,0
SB10Oct11,0.208606629880074,fr ~ 1 + hp + ep,0.471432736722011,fr ~ 1 + hv + ha,100,190
SB10Jan12,0.375647206526204,fr ~ 1 + hp + hv + ep,0,fr ~ 1,0,40
SB07Oct11,0.0504085641583015,fr ~ 1 + hv,0.0725008618609748,fr ~ 1 + hv,160,170
SB05Oct11,0.152311763391408,fr ~ 1 + hv,0.0855679507277585,fr ~ 1 + hv,70,90
